edit,edit,frequency,edit_from,edit_to,transformed_frequency
i|l,i|l,11,i,l,0.48986165536421117
d|r,d|r,11,d,r,0.48986165536421117
c|p,c|p,11,c,p,0.48986165536421117
e|b,e|b,11,e,b,0.48986165536421117
g|k,g|k,11,g,k,0.48986165536421117
r|m,r|m,11,r,m,0.48986165536421117
l|w,l|w,11,l,w,0.48986165536421117
e|c,e|c,11,e,c,0.48986165536421117
r|p,r|p,11,r,p,0.48986165536421117
g|e,g|e,10,g,e,0.5
u|y,u|y,10,u,y,0.5
y|u,y|u,10,y,u,0.5
u|s,u|s,10,u,s,0.5
y|o,y|o,10,y,o,0.5
w|r,w|r,10,w,r,0.5
u|n,u|n,10,u,n,0.5
p|t,p|t,10,p,t,0.5
e|',e|',10,e,',0.5
u|l,u|l,10,u,l,0.5
l|u,l|u,9,l,u,0.5117072191244584
a|c,a|c,9,a,c,0.5117072191244584
n|g,n|g,9,n,g,0.5117072191244584
-| ,-| ,9,-, ,0.5117072191244584
w|h,w|h,9,w,h,0.5117072191244584
r|w,r|w,9,r,w,0.5117072191244584
s|n,s|n,9,s,n,0.5117072191244584
g|q,g|q,9,g,q,0.5117072191244584
b|v,b|v,9,b,v,0.5117072191244584
a|s,a|s,9,a,s,0.5117072191244584
l|n,l|n,9,l,n,0.5117072191244584
c|i,c|i,9,c,i,0.5117072191244584
k|a,k|a,9,k,a,0.5117072191244584
p|c,p|c,8,p,c,0.5254612271806532
n|i,n|i,8,n,i,0.5254612271806532
c|l,c|l,8,c,l,0.5254612271806532
t|a,t|a,8,t,a,0.5254612271806532
n|a,n|a,8,n,a,0.5254612271806532
p|m,p|m,8,p,m,0.5254612271806532
w|e,w|e,8,w,e,0.5254612271806532
v|b,v|b,8,v,b,0.5254612271806532
x|s,x|s,8,x,s,0.5254612271806532
o|t,o|t,8,o,t,0.5254612271806532
c|n,c|n,8,c,n,0.5254612271806532
s|l,s|l,7,s,l,0.5419766203817945
d|j,d|j,7,d,j,0.5419766203817945
y|s,y|s,7,y,s,0.5419766203817945
f|r,f|r,7,f,r,0.5419766203817945
t|f,t|f,7,t,f,0.5419766203817945
d|s,d|s,7,d,s,0.5419766203817945
d|c,d|c,7,d,c,0.5419766203817945
d|a,d|a,7,d,a,0.5419766203817945
a|n,a|n,7,a,n,0.5419766203817945
s|f,s|f,7,s,f,0.5419766203817945
g|x,g|x,7,g,x,0.5419766203817945
h|p,h|p,7,h,p,0.5419766203817945
r|c,r|c,7,r,c,0.5419766203817945
o|y,o|y,7,o,y,0.5419766203817945
e|g,e|g,7,e,g,0.5419766203817945
l|a,l|a,6,l,a,0.5623818557528477
p|r,p|r,6,p,r,0.5623818557528477
f|l,f|l,6,f,l,0.5623818557528477
t|g,t|g,6,t,g,0.5623818557528477
 |e, |e,6, ,e,0.5623818557528477
e|w,e|w,6,e,w,0.5623818557528477
t|y,t|y,6,t,y,0.5623818557528477
t|u,t|u,6,t,u,0.5623818557528477
h|s,h|s,6,h,s,0.5623818557528477
m|d,m|d,6,m,d,0.5623818557528477
h|r,h|r,6,h,r,0.5623818557528477
b|m,b|m,6,b,m,0.5623818557528477
s|i,s|i,6,s,i,0.5623818557528477
h|o,h|o,6,h,o,0.5623818557528477
r|y,r|y,6,r,y,0.5623818557528477
h|k,h|k,6,h,k,0.5623818557528477
w|v,w|v,6,w,v,0.5623818557528477
k|u,k|u,6,k,u,0.5623818557528477
g|u,g|u,6,g,u,0.5623818557528477
m|t,m|t,6,m,t,0.5623818557528477
y|t,y|t,5,y,t,0.588591910067779
s|u,s|u,5,s,u,0.588591910067779
m|b,m|b,5,m,b,0.588591910067779
l|m,l|m,5,l,m,0.588591910067779
n|c,n|c,5,n,c,0.588591910067779
l|y,l|y,5,l,y,0.588591910067779
s|y,s|y,5,s,y,0.588591910067779
w|o,w|o,5,w,o,0.588591910067779
z|c,z|c,5,z,c,0.588591910067779
m|p,m|p,5,m,p,0.588591910067779
r|b,r|b,5,r,b,0.588591910067779
t|m,t|m,5,t,m,0.588591910067779
s|p,s|p,5,s,p,0.588591910067779
r|g,r|g,5,r,g,0.588591910067779
z|x,z|x,5,z,x,0.588591910067779
d|u,d|u,5,d,u,0.588591910067779
c|h,c|h,5,c,h,0.588591910067779
'|e,'|e,5,',e,0.588591910067779
f|g,f|g,5,f,g,0.588591910067779
d|v,d|v,5,d,v,0.588591910067779
e|l,e|l,5,e,l,0.588591910067779
g|m,g|m,5,g,m,0.588591910067779
m|x,m|x,4,m,x,0.6241963505817848
